no, Transaction_Amount, Price_Old, Total_Cost, Hedera, Total_Cost, Savings
1, 100, 0.88, 88, 0.00014, 0.014, 87.986
1, 1000, 0.88, 888, 0.00014, 0.14, 879.86
1, 10000, 0.88, 8888, 0.00014, 1.14, 8798.6
1, 100000, 0.88, 88888, 0.00014, 11.4, 87986
2, 100, 0.51, 51, 0.00014, 0.014, 50.986
2, 1000, 0.51, 510, 0.00014, 509.86
2, 10000, 0.51, 5100, 0.00014, 5098.6
2, 100000, 0.51, 51000, 0.00014, 50986
3, 100, 0.44, 44, 0.00014, 0.014, 43.986
3, 1000, 0.44, 440, 0.00014, 439.86
3, 10000, 0.44, 4400, 0.00014, 4398.6
3, 100000, 0.44, 44000, 0.00014, 43986





